,Genotype,Chloramphenicol concentration (ug/mL),Expected initial mutant fraction,Measured initial mutant fraction,Measured initial mutant fraction error,Replicate,Establishment probability,Establishment probability error
340,dsbA,2,0.002,0.001923447,0.000607662,4,,
341,dsbA,2,0.002,0.001923447,0.000607662,5,0.193813589,0.061230264
342,dsbA,2,0.002,0.001923447,0.000607662,6,0.276123923,0.087234031
343,dsbA,2,0.002,0.001923447,0.000607662,7,0.881866744,0.278602411
344,dsbA,2,0.005,0.002206964,0.000734842,0,0.538703503,0.179369583
345,dsbA,2,0.005,0.002206964,0.000734842,1,0.612630107,0.203984578
346,dsbA,2,0.005,0.002206964,0.000734842,2,0.217175264,0.072311831
347,dsbA,2,0.005,0.002206964,0.000734842,3,0.317509744,0.105719733
348,dsbA,2,0.005,0.002206964,0.000734842,4,0.082389893,0.027432977
349,dsbA,2,0.005,0.002206964,0.000734842,5,0.228557779,0.076101814
350,dsbA,2,0.005,0.002206964,0.000734842,6,0.397933249,0.132497971
351,dsbA,2,0.005,0.002206964,0.000734842,7,0.492951684,0.164135814
352,dsbA,2,0.02,0.013765678,0.002037893,0,0.096716589,0.014318079
353,dsbA,2,0.02,0.013765678,0.002037893,1,0.127036074,0.018806625
354,dsbA,2,0.02,0.013765678,0.002037893,2,0.08880281,0.013146511
355,dsbA,2,0.02,0.013765678,0.002037893,3,0.108536768,0.016067958
356,dsbA,2,0.02,0.013765678,0.002037893,4,0.083405119,0.012347428
357,dsbA,2,0.02,0.013765678,0.002037893,5,0.06677013,0.009884757
358,dsbA,2,0.02,0.013765678,0.002037893,6,0.103505288,0.015323089
359,dsbA,2,0.02,0.013765678,0.002037893,7,0.116981821,0.017318177
360,dsbA,3,0.002,0.001923447,0.000607662,0,1.914341094,0.604785302
361,dsbA,3,0.002,0.001923447,0.000607662,1,1.651827676,0.521851149
362,dsbA,3,0.002,0.001923447,0.000607662,2,1.060054629,0.334896148
363,dsbA,3,0.002,0.001923447,0.000607662,3,1.159463317,0.366301687
364,dsbA,3,0.002,0.001923447,0.000607662,4,,
365,dsbA,3,0.002,0.001923447,0.000607662,5,1.744322298,0.551072372
366,dsbA,3,0.002,0.001923447,0.000607662,6,1.288578305,0.407092144
367,dsbA,3,0.002,0.001923447,0.000607662,7,1.175822325,0.371469882
368,dsbA,3,0.005,0.002206964,0.000734842,0,,
369,dsbA,3,0.005,0.002206964,0.000734842,1,,
370,dsbA,3,0.005,0.002206964,0.000734842,2,,
371,dsbA,3,0.005,0.002206964,0.000734842,3,,
